ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,buy,2026-04-17T12:20:00+00:00,2026-04-17T13:05:00+00:00,4812.094,4857.307,4826.27479,4857.307,11.984,internal_structure_anchor,0.01,8,B,tp_hit,45.193
2,XAUUSDm,sell,2026-04-17T20:35:00+00:00,2026-04-19T22:00:00+00:00,4842.067,4806.312,4855.433,4806.312,13.366,internal_structure_anchor,0.01,8,B,tp_hit,35.735
3,XAUUSDm,sell,2026-04-22T12:15:00+00:00,2026-04-22T13:45:00+00:00,4747.91,4760.49,4760.49,4703.435,12.58,internal_structure_anchor,0.01,9,B,sl_hit,-12.6
4,XAUUSDm,sell,2026-04-24T03:00:00+00:00,2026-04-24T04:45:00+00:00,4672.607,4669.57507,4669.57507,4650.546,14.707,internal_structure_anchor,0.01,8,B,sl_hit,3.0119
5,XAUUSDm,sell,2026-04-24T10:30:00+00:00,2026-04-24T11:00:00+00:00,4675.453,4687.627,4687.627,4644.273,12.174,internal_structure_anchor,0.01,9,B,sl_hit,-12.194
6,XAUUSDm,sell,2026-04-27T14:05:00+00:00,2026-04-27T16:50:00+00:00,4688.934,4677.43243,4677.43243,4657.574,11.801,internal_structure_anchor,0.01,8,B,sl_hit,11.4816
7,XAUUSDm,sell,2026-04-28T02:00:00+00:00,2026-04-28T05:05:00+00:00,4672.572,4651.044,4668.30914,4651.044,14.352,internal_structure_anchor,0.01,9,B,tp_hit,21.508
8,XAUUSDm,sell,2026-04-28T07:50:00+00:00,2026-04-28T09:55:00+00:00,4626.65,4606.464,4624.273,4606.464,13.457,internal_structure_anchor,0.01,8,B,tp_hit,20.166
9,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.15686,4573.15686,4554.786,10.207,internal_structure_anchor,0.02,8,B,sl_hit,12.4543
10,XAUUSDm,sell,2026-04-29T13:20:00+00:00,2026-04-29T13:40:00+00:00,4538.125,4516.981,4552.221,4516.981,14.096,internal_structure_anchor,0.01,9,B,tp_hit,21.124
11,XAUUSDm,buy,2026-04-30T01:25:00+00:00,2026-04-30T02:35:00+00:00,4579.577,4562.981,4562.981,4657.574,16.596,internal_structure_anchor,0.01,8,B,sl_hit,-16.616
12,XAUUSDm,buy,2026-04-30T09:30:00+00:00,2026-04-30T11:30:00+00:00,4624.472,4629.72707,4629.72707,4711.827,11.222,internal_structure_anchor,0.02,8,B,sl_hit,10.4701
13,XAUUSDm,buy,2026-05-06T01:50:00+00:00,2026-05-06T05:30:00+00:00,4624.512,4645.26371,4645.26371,4711.827,15.824,internal_structure_anchor,0.01,8,B,sl_hit,20.7317
14,XAUUSDm,buy,2026-05-06T06:00:00+00:00,2026-05-06T09:05:00+00:00,4658.577,4689.97421,4689.97421,4711.827,14.832,internal_structure_anchor,0.01,9,B,sl_hit,31.3772
15,XAUUSDm,buy,2026-05-06T10:50:00+00:00,2026-05-06T11:25:00+00:00,4721.461,4707.704,4707.704,4781.329,13.757,internal_structure_anchor,0.01,9,B,sl_hit,-13.777
16,XAUUSDm,sell,2026-05-11T05:40:00+00:00,2026-05-11T07:00:00+00:00,4663.771,4678.976,4681.272,4582.858,17.501,internal_structure_anchor,0.01,8,B,kill_switch,-15.225
17,XAUUSDm,buy,2026-05-11T22:35:00+00:00,2026-05-11T23:10:00+00:00,4741.808,4746.22879,4746.22879,4764.711,10.232,internal_structure_anchor,0.02,8,B,sl_hit,8.8016
18,XAUUSDm,buy,2026-05-11T23:30:00+00:00,2026-05-12T00:15:00+00:00,4755.381,4773.557,4755.65179,4773.557,12.117,internal_structure_anchor,0.01,8,B,tp_hit,18.156
19,XAUUSDm,sell,2026-05-12T06:25:00+00:00,2026-05-12T11:45:00+00:00,4696.123,4705.331,4709.506,4671.048,13.383,internal_structure_anchor,0.01,9,B,kill_switch,-9.228
20,XAUUSDm,sell,2026-05-13T02:30:00+00:00,2026-05-13T03:45:00+00:00,4696.259,4702.666,4707.394,4669.695,11.135,internal_structure_anchor,0.02,8,B,kill_switch,-12.854
21,XAUUSDm,sell,2026-05-13T03:55:00+00:00,2026-05-13T05:05:00+00:00,4696.091,4706.668,4706.668,4669.695,10.577,internal_structure_anchor,0.02,9,B,sl_hit,-21.194
22,XAUUSDm,sell,2026-05-14T19:35:00+00:00,2026-05-14T22:05:00+00:00,4659.362,4654.51193,4654.51193,4500.541,11.634,internal_structure_anchor,0.01,9,B,sl_hit,4.8301
23,XAUUSDm,sell,2026-05-15T05:05:00+00:00,2026-05-15T07:10:00+00:00,4593.235,4578.71357,4578.71357,4540.282,14.905,internal_structure_anchor,0.01,9,B,sl_hit,14.5014
24,XAUUSDm,sell,2026-05-26T04:30:00+00:00,2026-05-26T10:05:00+00:00,4530.445,4525.24293,4525.24293,4465.693,14.132,internal_structure_anchor,0.01,8,B,sl_hit,5.1821
25,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4473.321,14.608,internal_structure_anchor,0.01,9,B,sl_hit,6.4653
26,XAUUSDm,sell,2026-05-27T10:15:00+00:00,2026-05-27T10:45:00+00:00,4479.836,4453.399,4473.0045,4453.399,14.09,internal_structure_anchor,0.01,8,B,tp_hit,26.417
27,XAUUSDm,sell,2026-05-27T12:10:00+00:00,2026-05-27T12:15:00+00:00,4430.252,4446.922,4446.922,4405.247,16.67,internal_structure_anchor,0.01,8,B,sl_hit,-16.69
28,XAUUSDm,sell,2026-05-28T04:25:00+00:00,2026-05-28T05:30:00+00:00,4368.483,4382.847,4382.847,4346.937,14.364,internal_structure_anchor,0.01,8,B,sl_hit,-14.384
29,XAUUSDm,sell,2026-05-28T10:50:00+00:00,2026-05-28T12:35:00+00:00,4382.292,4396.486,4396.486,4361.001,14.194,internal_structure_anchor,0.01,8,B,sl_hit,-14.214
30,XAUUSDm,sell,2026-06-01T03:05:00+00:00,2026-06-01T07:45:00+00:00,4517.671,4493.563,4511.14807,4493.563,16.072,internal_structure_anchor,0.01,8,B,tp_hit,24.088
31,XAUUSDm,buy,2026-06-02T04:15:00+00:00,2026-06-02T05:55:00+00:00,4507.564,4517.02814,4517.02814,4530.465,15.267,internal_structure_anchor,0.01,9,B,sl_hit,9.4441
32,XAUUSDm,buy,2026-06-02T06:25:00+00:00,2026-06-02T11:40:00+00:00,4532.972,4533.1345,4533.1345,4559.398,17.617,internal_structure_anchor,0.01,8,B,sl_hit,0.1425
33,XAUUSDm,sell,2026-06-03T04:30:00+00:00,2026-06-03T06:15:00+00:00,4474.799,4469.11857,4469.11857,4454.402,13.598,internal_structure_anchor,0.01,9,B,sl_hit,5.6604
34,XAUUSDm,sell,2026-06-03T06:50:00+00:00,2026-06-03T07:10:00+00:00,4458.453,4471.722,4471.722,4366.232,13.269,internal_structure_anchor,0.01,8,B,sl_hit,-13.289
35,XAUUSDm,sell,2026-06-03T07:30:00+00:00,2026-06-03T09:05:00+00:00,4461.387,4456.59257,4456.59257,4366.232,11.667,internal_structure_anchor,0.02,8,B,sl_hit,9.5489
36,XAUUSDm,sell,2026-06-03T09:25:00+00:00,2026-06-03T10:05:00+00:00,4440.069,4457.227,4457.227,4366.232,17.158,internal_structure_anchor,0.01,8,B,sl_hit,-17.178
37,XAUUSDm,sell,2026-06-05T01:20:00+00:00,2026-06-05T04:55:00+00:00,4455.145,4444.808,4444.808,4366.232,15.118,internal_structure_anchor,0.01,8,B,sl_hit,10.317
38,XAUUSDm,sell,2026-06-05T18:00:00+00:00,2026-06-05T20:45:00+00:00,4333.407,4326.33471,4326.33471,4311.246,14.774,internal_structure_anchor,0.01,9,B,sl_hit,7.0523
39,XAUUSDm,sell,2026-06-08T05:05:00+00:00,2026-06-08T05:30:00+00:00,4310.28,4293.121,4321.719,4293.121,11.439,internal_structure_anchor,0.02,8,B,tp_hit,34.278
40,XAUUSDm,sell,2026-06-10T19:20:00+00:00,2026-06-10T22:00:00+00:00,4084.81,4059.908,4082.73629,4059.908,16.601,internal_structure_anchor,0.01,8,B,tp_hit,24.882
