ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-04-17T20:35:00+00:00,2026-04-19T22:00:00+00:00,4842.067,4806.312,4855.433,4806.312,13.366,internal_structure_anchor,0.01,8,B,tp_hit,35.735
2,XAUUSDm,sell,2026-04-22T12:15:00+00:00,2026-04-22T13:45:00+00:00,4747.91,4760.49,4760.49,4703.435,12.58,internal_structure_anchor,0.01,9,B,sl_hit,-12.6
3,XAUUSDm,sell,2026-04-24T10:30:00+00:00,2026-04-24T11:00:00+00:00,4675.453,4687.627,4687.627,4644.273,12.174,internal_structure_anchor,0.01,9,B,sl_hit,-12.194
4,XAUUSDm,sell,2026-04-27T14:05:00+00:00,2026-04-27T16:50:00+00:00,4688.934,4677.43243,4677.43243,4657.574,11.801,internal_structure_anchor,0.01,8,B,sl_hit,11.4816
5,XAUUSDm,sell,2026-04-28T05:10:00+00:00,2026-04-28T06:05:00+00:00,4652.331,4640.23,4640.23,4622.593,14.869,internal_structure_anchor,0.01,8,B,sl_hit,12.081
6,XAUUSDm,sell,2026-04-28T09:15:00+00:00,2026-04-28T11:20:00+00:00,4622.131,4594.437,4610.03971,4594.437,13.847,internal_structure_anchor,0.01,8,B,tp_hit,27.674
7,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.15686,4573.15686,4554.786,10.207,internal_structure_anchor,0.02,8,B,sl_hit,12.4543
8,XAUUSDm,sell,2026-05-11T05:50:00+00:00,2026-05-11T06:15:00+00:00,4654.587,4669.222,4669.222,4540.282,14.635,internal_structure_anchor,0.01,9,B,sl_hit,-14.655
9,XAUUSDm,sell,2026-05-13T03:05:00+00:00,2026-05-13T03:35:00+00:00,4689.67,4704.789,4704.789,4659.432,15.119,internal_structure_anchor,0.01,8,B,sl_hit,-15.139
10,XAUUSDm,sell,2026-05-13T03:55:00+00:00,2026-05-13T05:05:00+00:00,4696.091,4706.668,4706.668,4669.695,10.577,internal_structure_anchor,0.01,9,B,sl_hit,-10.597
11,XAUUSDm,sell,2026-05-13T18:45:00+00:00,2026-05-13T22:15:00+00:00,4679.59,4694.708,4694.708,4582.858,15.118,internal_structure_anchor,0.01,9,B,sl_hit,-15.138
12,XAUUSDm,sell,2026-05-14T03:10:00+00:00,2026-05-14T04:25:00+00:00,4682.988,4695.469,4695.469,4658.026,12.481,internal_structure_anchor,0.01,9,B,sl_hit,-12.501
13,XAUUSDm,sell,2026-05-14T19:35:00+00:00,2026-05-14T22:05:00+00:00,4659.362,4654.51193,4654.51193,4500.541,11.634,internal_structure_anchor,0.01,9,B,sl_hit,4.8301
14,XAUUSDm,sell,2026-05-15T05:05:00+00:00,2026-05-15T07:10:00+00:00,4593.235,4578.71357,4578.71357,4540.282,14.905,internal_structure_anchor,0.01,9,B,sl_hit,14.5014
15,XAUUSDm,sell,2026-05-26T04:30:00+00:00,2026-05-26T10:05:00+00:00,4530.445,4525.24293,4525.24293,4465.693,14.132,internal_structure_anchor,0.01,8,B,sl_hit,5.1821
16,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4466.017,14.608,internal_structure_anchor,0.01,9,B,sl_hit,6.4653
17,XAUUSDm,sell,2026-05-27T10:15:00+00:00,2026-05-27T10:45:00+00:00,4479.836,4451.656,4473.0045,4451.656,14.09,internal_structure_anchor,0.01,8,B,tp_hit,28.16
