ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:30:00+00:00,2026-03-12T19:25:00+00:00,5111.998,5095.43864,5095.43864,4995.774,24.0,internal_structure_anchor,0.01,8,B,sl_hit,16.5594
2,XAUUSDm,sell,2026-03-12T19:55:00+00:00,2026-03-12T20:45:00+00:00,5084.796,5074.31057,5074.31057,4995.774,15.15,internal_structure_anchor+sl_floor(15.150),0.01,8,B,sl_hit,10.4854
3,XAUUSDm,sell,2026-03-13T06:10:00+00:00,2026-03-13T07:35:00+00:00,5104.03,5091.41643,5091.41643,4995.774,10.038,internal_structure_anchor+sl_floor(10.038),0.02,8,B,sl_hit,25.2271
4,XAUUSDm,sell,2026-03-13T07:40:00+00:00,2026-03-13T08:40:00+00:00,5089.241,5083.61836,5083.61836,4995.774,13.52,internal_structure_anchor+sl_floor(13.520),0.01,8,B,sl_hit,5.6226
5,XAUUSDm,sell,2026-03-13T15:00:00+00:00,2026-03-15T22:05:00+00:00,5049.491,5027.85071,5027.85071,4954.459,31.677,internal_structure_anchor,0.01,8,B,sl_hit,21.6403
6,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T10:25:00+00:00,4988.75,4988.29236,4988.29236,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,0.4576
7,XAUUSDm,sell,2026-03-16T10:35:00+00:00,2026-03-16T10:50:00+00:00,4981.7,4994.847,4994.847,4942.258,13.147,internal_structure_anchor+sl_floor(13.147),0.01,8,B,sl_hit,-13.147
8,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-16T17:00:00+00:00,5011.002,4994.83379,4994.83379,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,16.1682
9,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
10,XAUUSDm,sell,2026-03-19T06:10:00+00:00,2026-03-19T06:45:00+00:00,4833.1,4776.277,4789.74664,4776.277,18.941,internal_structure_anchor,0.01,8,B,tp_hit,56.823
11,XAUUSDm,sell,2026-03-19T07:30:00+00:00,2026-03-19T10:20:00+00:00,4764.603,4672.031,4716.37264,4672.031,30.857,internal_structure_anchor+sl_floor(30.857),0.01,8,B,tp_hit,92.572
12,XAUUSDm,sell,2026-03-19T10:20:00+00:00,2026-03-19T12:40:00+00:00,4679.295,4585.752,4606.7435,4585.752,31.181,internal_structure_anchor+sl_floor(31.181),0.01,8,B,tp_hit,93.543
13,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T07:30:00+00:00,4712.459,4688.91943,4688.91943,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,23.5396
14,XAUUSDm,sell,2026-03-20T09:00:00+00:00,2026-03-20T11:40:00+00:00,4688.573,4670.99029,4670.99029,4502.509,21.817,aggressive_ob_boundary+sl_floor(21.817),0.01,10,A+,sl_hit,17.5827
15,XAUUSDm,sell,2026-03-20T18:00:00+00:00,2026-03-20T18:20:00+00:00,4570.08,4566.321,4566.321,4502.162,22.639,internal_structure_anchor+sl_floor(22.639),0.01,8,B,sl_hit,3.759
16,XAUUSDm,sell,2026-03-20T18:20:00+00:00,2026-03-22T22:00:00+00:00,4546.356,4475.98921,4475.98921,4446.584,33.257,internal_structure_anchor,0.01,9,B,sl_hit,70.3668
17,XAUUSDm,sell,2026-03-23T05:40:00+00:00,2026-03-23T06:25:00+00:00,4322.194,4240.221,4293.45014,4240.221,27.324,internal_structure_anchor+sl_floor(27.324),0.01,9,B,tp_hit,81.973
18,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:25:00+00:00,4511.76,4502.60857,4502.60857,4472.499,13.087,internal_structure_anchor,0.02,8,B,sl_hit,18.3029
19,XAUUSDm,sell,2026-03-26T05:25:00+00:00,2026-03-26T05:50:00+00:00,4493.648,4460.804,4484.67293,4460.804,10.948,internal_structure_anchor+sl_floor(10.948),0.02,9,B,tp_hit,65.688
20,XAUUSDm,sell,2026-03-26T16:15:00+00:00,2026-03-26T16:20:00+00:00,4426.446,4419.16007,4419.16007,4339.539,28.969,internal_structure_anchor,0.01,8,B,sl_hit,7.2859
21,XAUUSDm,sell,2026-03-26T16:30:00+00:00,2026-03-26T20:10:00+00:00,4392.778,4375.96343,4375.96343,4313.184,26.531,internal_structure_anchor+sl_floor(26.531),0.01,8,B,sl_hit,16.8146
22,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T10:45:00+00:00,4724.298,4720.61793,4720.61793,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.03,11,A+,sl_hit,11.0402
23,XAUUSDm,buy,2026-04-21T12:10:00+00:00,2026-04-21T12:20:00+00:00,4791.263,4781.263,4781.263,4821.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
24,XAUUSDm,buy,2026-04-21T12:20:00+00:00,2026-04-21T12:30:00+00:00,4782.766,4772.766,4772.766,4812.766,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
25,XAUUSDm,sell,2026-04-22T12:10:00+00:00,2026-04-22T13:40:00+00:00,4752.331,4753.51114,4753.51114,4703.435,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-2.3603
26,XAUUSDm,sell,2026-04-22T14:30:00+00:00,2026-04-23T00:10:00+00:00,4736.077,4709.637,4709.637,4668.161,14.159,internal_structure_anchor+sl_floor(14.159),0.02,8,B,sl_hit,52.88
27,XAUUSDm,sell,2026-04-23T17:00:00+00:00,2026-04-23T17:05:00+00:00,4730.76,4724.2315,4724.2315,4700.229,10.177,aggressive_ob_boundary+sl_floor(10.177),0.03,10,A+,sl_hit,19.5855
28,XAUUSDm,sell,2026-04-23T17:40:00+00:00,2026-04-23T18:00:00+00:00,4677.496,4716.606,4716.606,4560.165,39.11,internal_structure_anchor,0.01,8,B,sl_hit,-39.11
29,XAUUSDm,sell,2026-04-24T04:15:00+00:00,2026-04-24T04:45:00+00:00,4669.263,4669.57507,4669.57507,4639.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-0.6241
30,XAUUSDm,sell,2026-04-24T09:20:00+00:00,2026-04-24T11:00:00+00:00,4686.622,4686.41071,4686.41071,4644.273,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,0.4226
31,XAUUSDm,sell,2026-04-24T20:00:00+00:00,2026-04-26T22:05:00+00:00,4716.613,4693.82657,4693.82657,4664.091,10.0,aggressive_ob_boundary+sl_floor(10.000),0.03,10,A+,sl_hit,68.3593
32,XAUUSDm,sell,2026-04-27T14:00:00+00:00,2026-04-27T16:45:00+00:00,4694.038,4677.43243,4677.43243,4657.574,11.207,internal_structure_anchor+sl_floor(11.207),0.02,8,B,sl_hit,33.2111
33,XAUUSDm,sell,2026-04-28T01:00:00+00:00,2026-04-28T01:55:00+00:00,4689.167,4680.96364,4680.96364,4659.167,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,24.6101
34,XAUUSDm,sell,2026-04-28T01:55:00+00:00,2026-04-28T05:05:00+00:00,4670.774,4656.05036,4656.05036,4640.774,10.0,internal_structure_anchor+sl_floor(10.000),0.03,9,B,sl_hit,44.1709
35,XAUUSDm,sell,2026-04-28T05:10:00+00:00,2026-04-28T06:05:00+00:00,4652.331,4640.23,4640.23,4607.724,14.869,internal_structure_anchor,0.02,8,B,sl_hit,24.202
36,XAUUSDm,sell,2026-04-28T06:15:00+00:00,2026-04-28T11:35:00+00:00,4633.936,4585.50964,4585.50964,4557.397,25.513,internal_structure_anchor,0.01,8,B,sl_hit,48.4264
37,XAUUSDm,sell,2026-04-28T12:20:00+00:00,2026-04-28T12:50:00+00:00,4577.765,4599.802,4599.802,4511.654,22.037,internal_structure_anchor+sl_floor(22.037),0.01,8,B,sl_hit,-22.037
38,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.14293,4573.14293,4548.783,10.207,internal_structure_anchor,0.03,8,B,sl_hit,18.7832
39,XAUUSDm,sell,2026-04-29T09:50:00+00:00,2026-04-29T10:10:00+00:00,4554.992,4566.033,4566.033,4521.868,11.041,internal_structure_anchor+sl_floor(11.041),0.03,8,B,sl_hit,-33.123
40,XAUUSDm,sell,2026-04-29T12:50:00+00:00,2026-04-29T13:45:00+00:00,4545.015,4510.466,4533.32643,4510.466,11.516,internal_structure_anchor+sl_floor(11.516),0.02,8,B,tp_hit,69.098
41,XAUUSDm,sell,2026-04-29T19:20:00+00:00,2026-04-30T00:00:00+00:00,4544.736,4563.968,4563.968,4487.039,19.232,internal_structure_anchor+sl_floor(19.232),0.01,8,B,sl_hit,-19.232
42,XAUUSDm,sell,2026-05-04T15:00:00+00:00,2026-05-04T16:05:00+00:00,4561.159,4508.43,4543.77164,4508.43,17.576,internal_structure_anchor+sl_floor(17.576),0.02,9,B,tp_hit,105.458
