ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2025-10-21T12:05:00+00:00,2025-10-21T12:10:00+00:00,4249.071,4237.99714,4237.99714,4090.652,15.389,internal_structure_anchor+sl_floor(15.389),0.01,9,B,sl_hit,11.0739
2,XAUUSDm,sell,2025-10-21T12:10:00+00:00,2025-10-21T13:35:00+00:00,4225.617,4223.82786,4223.82786,4090.652,24.613,internal_structure_anchor,0.01,9,B,sl_hit,1.7891
3,XAUUSDm,sell,2025-10-27T14:00:00+00:00,2025-10-27T16:10:00+00:00,4010.735,3994.22429,3994.22429,3945.77,18.53,internal_structure_anchor+sl_floor(18.530),0.01,8,B,sl_hit,16.5107
4,XAUUSDm,buy,2025-10-28T04:15:00+00:00,2025-10-28T04:20:00+00:00,3984.481,3974.481,3974.481,4019.767,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-20.0
5,XAUUSDm,buy,2025-10-28T04:20:00+00:00,2025-10-28T04:25:00+00:00,3973.742,3963.742,3963.742,4019.767,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-20.0
6,XAUUSDm,sell,2025-11-14T12:00:00+00:00,2025-11-14T14:35:00+00:00,4137.249,4066.86671,4066.86671,4028.656,21.227,internal_structure_anchor,0.01,8,B,sl_hit,70.3823
7,XAUUSDm,sell,2025-11-14T14:45:00+00:00,2025-11-14T15:45:00+00:00,4063.911,4088.369,4088.369,3990.536,24.458,internal_structure_anchor+sl_floor(24.458),0.01,8,B,sl_hit,-24.458
8,XAUUSDm,buy,2025-11-21T12:00:00+00:00,2025-11-21T12:30:00+00:00,4038.905,4048.10479,4048.10479,4068.905,10.0,aggressive_ob_boundary+sl_floor(10.000),0.02,10,A+,sl_hit,18.3996
9,XAUUSDm,sell,2025-12-29T14:10:00+00:00,2025-12-29T16:35:00+00:00,4398.612,4332.97186,4332.97186,4288.206,36.802,internal_structure_anchor,0.01,8,B,sl_hit,65.6401
10,XAUUSDm,sell,2025-12-31T05:45:00+00:00,2025-12-31T06:15:00+00:00,4310.723,4303.93107,4303.93107,4204.718,30.872,internal_structure_anchor,0.01,9,B,sl_hit,6.7919
11,XAUUSDm,sell,2026-01-02T14:30:00+00:00,2026-01-02T18:15:00+00:00,4355.203,4311.733,4324.42036,4311.733,14.49,internal_structure_anchor+sl_floor(14.490),0.01,9,B,tp_hit,43.47
12,XAUUSDm,buy,2026-01-14T18:00:00+00:00,2026-01-14T20:00:00+00:00,4614.493,4630.72743,4630.72743,4651.877,12.461,aggressive_ob_boundary+sl_floor(12.461),0.02,10,A+,sl_hit,32.4689
13,XAUUSDm,buy,2026-01-15T09:45:00+00:00,2026-01-15T12:10:00+00:00,4609.885,4615.05436,4615.05436,4643.189,10.0,aggressive_ob_boundary+sl_floor(10.000),0.02,10,A+,sl_hit,10.3387
14,XAUUSDm,buy,2026-01-23T12:00:00+00:00,2026-01-23T13:20:00+00:00,4926.4755,4932.97164,4932.97164,4967.549,10.6565,aggressive_ob_boundary+sl_floor(10.656),0.02,10,A+,sl_hit,12.9923
15,XAUUSDm,sell,2026-02-05T09:00:00+00:00,2026-02-05T11:10:00+00:00,4910.8305,4883.92207,4883.92207,4826.541,28.0965,aggressive_ob_boundary+sl_floor(28.096),0.01,11,A+,sl_hit,26.9084
16,XAUUSDm,sell,2026-02-05T21:35:00+00:00,2026-02-06T00:15:00+00:00,4766.042,4657.607,4706.74307,4657.607,36.145,internal_structure_anchor,0.01,8,B,tp_hit,108.435
17,XAUUSDm,sell,2026-02-13T19:00:00+00:00,2026-02-13T19:10:00+00:00,5033.169,5045.74,5045.74,4984.711,12.571,internal_structure_anchor+sl_floor(12.571),0.02,8,B,sl_hit,-25.142
18,XAUUSDm,sell,2026-02-13T19:15:00+00:00,2026-02-13T21:40:00+00:00,5040.49,5035.77436,5035.77436,4984.711,13.581,internal_structure_anchor+sl_floor(13.581),0.01,8,B,sl_hit,4.7156
19,XAUUSDm,sell,2026-02-16T03:05:00+00:00,2026-02-16T05:05:00+00:00,4991.69,4981.09657,4981.09657,4936.767,15.85,internal_structure_anchor,0.01,8,B,sl_hit,10.5934
20,XAUUSDm,sell,2026-02-16T12:05:00+00:00,2026-02-16T15:00:00+00:00,5002.582,4985.66171,4985.66171,4935.017,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,33.8406
21,XAUUSDm,sell,2026-02-16T15:00:00+00:00,2026-02-16T17:00:00+00:00,4973.849,4993.503,4993.503,4905.039,19.654,internal_structure_anchor,0.01,9,B,sl_hit,-19.654
22,XAUUSDm,buy,2026-02-24T23:40:00+00:00,2026-02-25T02:50:00+00:00,5148.507,5177.06879,5177.06879,5249.42,13.352,aggressive_ob_boundary+sl_floor(13.352),0.02,10,A+,sl_hit,57.1236
