ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,buy,2026-03-06T01:10:00+00:00,2026-03-06T01:50:00+00:00,5077.274,5122.969,5072.274,5122.969,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,45.7
2,XAUUSDm,buy,2026-03-06T18:35:00+00:00,2026-03-06T20:30:00+00:00,5156.146,5151.146,5151.146,5192.871,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
3,XAUUSDm,buy,2026-03-09T04:35:00+00:00,2026-03-09T04:45:00+00:00,5090.653,5085.653,5085.653,5145.273,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
4,XAUUSDm,buy,2026-03-09T05:30:00+00:00,2026-03-09T06:50:00+00:00,5106.142,5101.142,5101.142,5145.273,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
5,XAUUSDm,buy,2026-03-10T01:20:00+00:00,2026-03-10T01:30:00+00:00,5158.746,5153.746,5153.746,5173.767,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
6,XAUUSDm,buy,2026-03-10T16:20:00+00:00,2026-03-10T16:40:00+00:00,5232.783,5227.783,5227.783,5419.154,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
7,XAUUSDm,sell,2026-03-12T17:45:00+00:00,2026-03-13T00:50:00+00:00,5107.604,5112.604,5112.604,4995.774,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
8,XAUUSDm,sell,2026-03-13T19:45:00+00:00,2026-03-13T19:55:00+00:00,5015.585,5020.585,5020.585,4995.774,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
9,XAUUSDm,sell,2026-03-16T15:25:00+00:00,2026-03-16T15:35:00+00:00,4991.632,4996.632,4996.632,4966.796,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
10,XAUUSDm,sell,2026-03-16T15:50:00+00:00,2026-03-16T16:05:00+00:00,4988.832,4993.832,4993.832,4966.796,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
11,XAUUSDm,buy,2026-03-17T15:10:00+00:00,2026-03-17T15:25:00+00:00,5008.328,5003.328,5003.328,5044.474,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
12,XAUUSDm,sell,2026-03-20T09:00:00+00:00,2026-03-20T09:05:00+00:00,4688.573,4694.301,4694.301,4502.509,5.728,aggressive_ob_boundary,0.02,10,A+,sl_hit,-11.45
13,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T13:00:00+00:00,4724.298,4729.298,4729.298,4664.573,5.0,aggressive_ob_boundary+sl_floor(5.000),0.02,11,A+,sl_hit,-10.0
14,XAUUSDm,sell,2026-04-23T17:00:00+00:00,2026-04-23T17:30:00+00:00,4730.76,4702.121,4735.76,4702.121,5.0,aggressive_ob_boundary+sl_floor(5.000),0.02,10,A+,tp_hit,57.28
15,XAUUSDm,sell,2026-04-24T02:20:00+00:00,2026-04-24T02:30:00+00:00,4684.956,4689.956,4689.956,4664.091,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
16,XAUUSDm,sell,2026-04-24T02:35:00+00:00,2026-04-24T04:20:00+00:00,4683.54,4664.091,4688.54,4664.091,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,19.45
17,XAUUSDm,sell,2026-04-24T09:20:00+00:00,2026-04-24T11:05:00+00:00,4686.622,4691.622,4691.622,4644.273,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
18,XAUUSDm,sell,2026-04-24T11:15:00+00:00,2026-04-24T11:20:00+00:00,4695.081,4700.081,4700.081,4644.273,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
19,XAUUSDm,sell,2026-04-24T11:35:00+00:00,2026-04-24T13:45:00+00:00,4707.243,4712.243,4712.243,4657.574,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
20,XAUUSDm,sell,2026-04-24T20:00:00+00:00,2026-04-27T02:50:00+00:00,4716.613,4721.613,4721.613,4664.091,5.0,aggressive_ob_boundary+sl_floor(5.000),0.02,10,A+,sl_hit,-10.0
21,XAUUSDm,sell,2026-04-28T01:00:00+00:00,2026-04-28T02:00:00+00:00,4689.167,4666.989,4694.167,4666.989,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,22.18
22,XAUUSDm,sell,2026-04-28T02:30:00+00:00,2026-04-28T05:05:00+00:00,4673.494,4658.494,4678.494,4658.494,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,tp_hit,15.0
23,XAUUSDm,sell,2026-04-28T09:30:00+00:00,2026-04-28T11:15:00+00:00,4611.999,4596.999,4616.999,4596.999,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,15.0
24,XAUUSDm,sell,2026-04-29T09:50:00+00:00,2026-04-29T10:00:00+00:00,4554.992,4559.992,4559.992,4539.992,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
25,XAUUSDm,sell,2026-04-29T19:55:00+00:00,2026-04-29T20:05:00+00:00,4546.904,4551.904,4551.904,4531.904,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
26,XAUUSDm,buy,2026-04-30T10:20:00+00:00,2026-04-30T11:30:00+00:00,4634.074,4628.96,4628.96,4711.827,5.114,internal_structure_anchor,0.01,9,B,sl_hit,-5.11
27,XAUUSDm,buy,2026-04-30T11:50:00+00:00,2026-04-30T12:30:00+00:00,4630.227,4625.227,4625.227,4711.827,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
28,XAUUSDm,buy,2026-05-03T22:30:00+00:00,2026-05-03T22:55:00+00:00,4623.324,4618.301,4618.301,4711.827,5.023,internal_structure_anchor,0.01,8,B,sl_hit,-5.02
29,XAUUSDm,buy,2026-05-04T00:05:00+00:00,2026-05-04T00:10:00+00:00,4615.106,4610.106,4610.106,4666.414,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
30,XAUUSDm,buy,2026-05-04T00:10:00+00:00,2026-05-04T00:15:00+00:00,4611.965,4606.965,4606.965,4666.414,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
31,XAUUSDm,buy,2026-05-04T00:30:00+00:00,2026-05-04T01:00:00+00:00,4608.091,4603.091,4603.091,4629.394,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
32,XAUUSDm,buy,2026-05-05T22:35:00+00:00,2026-05-06T00:55:00+00:00,4550.12,4618.516,4545.12,4618.516,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,68.4
33,XAUUSDm,buy,2026-05-06T04:15:00+00:00,2026-05-06T10:30:00+00:00,4645.996,4711.827,4640.996,4711.827,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,tp_hit,65.83
34,XAUUSDm,buy,2026-05-06T10:30:00+00:00,2026-05-06T11:40:00+00:00,4709.205,4704.205,4704.205,4741.674,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
35,XAUUSDm,buy,2026-05-07T05:30:00+00:00,2026-05-07T06:30:00+00:00,4703.161,4723.017,4698.161,4723.017,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,tp_hit,19.86
36,XAUUSDm,sell,2026-05-12T06:00:00+00:00,2026-05-12T12:50:00+00:00,4706.432,4711.432,4711.432,4680.221,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
37,XAUUSDm,sell,2026-05-13T12:20:00+00:00,2026-05-13T13:20:00+00:00,4687.742,4692.742,4692.742,4671.048,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
38,XAUUSDm,sell,2026-05-13T17:30:00+00:00,2026-05-13T22:15:00+00:00,4690.577,4695.577,4695.577,4675.577,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
39,XAUUSDm,sell,2026-05-15T08:55:00+00:00,2026-05-15T09:05:00+00:00,4554.507,4559.507,4559.507,4500.541,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
40,XAUUSDm,sell,2026-05-15T10:25:00+00:00,2026-05-15T10:45:00+00:00,4551.835,4556.919,4556.919,4500.541,5.084,internal_structure_anchor,0.01,8,B,sl_hit,-5.08
41,XAUUSDm,sell,2026-05-15T13:35:00+00:00,2026-05-15T13:50:00+00:00,4528.467,4533.467,4533.467,4500.541,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
42,XAUUSDm,sell,2026-05-15T14:25:00+00:00,2026-05-15T14:55:00+00:00,4555.372,4561.094,4561.094,4500.541,5.722,internal_structure_anchor+sl_floor(5.722),0.01,8,B,sl_hit,-5.72
43,XAUUSDm,sell,2026-05-15T15:00:00+00:00,2026-05-15T15:05:00+00:00,4553.345,4558.705,4558.705,4500.541,5.36,internal_structure_anchor,0.01,8,B,sl_hit,-5.36
44,XAUUSDm,sell,2026-05-19T13:00:00+00:00,2026-05-19T13:30:00+00:00,4523.645,4480.202,4528.645,4480.202,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,43.45
45,XAUUSDm,sell,2026-05-21T12:55:00+00:00,2026-05-21T13:00:00+00:00,4503.912,4508.912,4508.912,4453.399,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
46,XAUUSDm,buy,2026-05-25T17:55:00+00:00,2026-05-25T23:35:00+00:00,4565.202,4560.202,4560.202,4589.369,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
47,XAUUSDm,buy,2026-05-26T09:10:00+00:00,2026-05-26T09:40:00+00:00,4520.564,4515.564,4515.564,4535.564,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
48,XAUUSDm,buy,2026-05-26T09:40:00+00:00,2026-05-26T10:30:00+00:00,4513.261,4535.547,4508.261,4535.547,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,22.29
49,XAUUSDm,sell,2026-05-26T11:35:00+00:00,2026-05-26T12:45:00+00:00,4510.982,4515.982,4515.982,4489.928,5.0,internal_structure_anchor+sl_floor(5.000),0.01,9,B,sl_hit,-5.0
50,XAUUSDm,sell,2026-05-27T07:30:00+00:00,2026-05-27T08:20:00+00:00,4485.63,4490.907,4490.907,4465.693,5.277,internal_structure_anchor,0.01,9,B,sl_hit,-5.28
51,XAUUSDm,sell,2026-05-27T08:30:00+00:00,2026-05-27T08:40:00+00:00,4488.626,4493.661,4493.661,4465.693,5.035,internal_structure_anchor,0.01,8,B,sl_hit,-5.03
52,XAUUSDm,sell,2026-05-27T10:25:00+00:00,2026-05-27T10:45:00+00:00,4477.045,4453.399,4482.045,4453.399,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,tp_hit,23.65
53,XAUUSDm,sell,2026-05-27T23:45:00+00:00,2026-05-28T00:15:00+00:00,4448.353,4453.353,4453.353,4433.353,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
54,XAUUSDm,sell,2026-05-28T00:25:00+00:00,2026-05-28T00:35:00+00:00,4446.112,4451.112,4451.112,4401.265,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
55,XAUUSDm,sell,2026-05-28T01:00:00+00:00,2026-05-28T02:10:00+00:00,4454.2455,4401.265,4459.245,4401.265,4.9995,aggressive_ob_boundary+sl_floor(5.000),0.02,10,A+,tp_hit,105.96
56,XAUUSDm,sell,2026-05-28T10:15:00+00:00,2026-05-28T12:45:00+00:00,4399.17,4404.871,4404.871,4366.232,5.701,internal_structure_anchor,0.01,8,B,sl_hit,-5.7
57,XAUUSDm,sell,2026-06-01T03:35:00+00:00,2026-06-01T05:15:00+00:00,4515.728,4520.728,4520.728,4500.728,5.0,internal_structure_anchor+sl_floor(5.000),0.01,8,B,sl_hit,-5.0
58,XAUUSDm,sell,2026-06-01T06:35:00+00:00,2026-06-01T10:50:00+00:00,4504.386,4510.534,4510.534,4465.693,6.148,internal_structure_anchor,0.01,8,B,sl_hit,-6.14
