ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:40:00+00:00,2026-03-12T22:05:00+00:00,5110.713,5083.9425,5083.9425,4995.774,19.461,internal_structure_anchor,0.01,8,B,sl_hit,26.7705
2,XAUUSDm,sell,2026-03-13T06:10:00+00:00,2026-03-13T07:15:00+00:00,5104.03,5090.242,5090.242,4995.774,10.038,internal_structure_anchor+sl_floor(10.038),0.02,8,B,sl_hit,27.576
3,XAUUSDm,sell,2026-03-13T07:40:00+00:00,2026-03-13T08:35:00+00:00,5089.241,5081.69,5081.69,4995.774,13.52,internal_structure_anchor+sl_floor(13.520),0.01,8,B,sl_hit,7.551
4,XAUUSDm,sell,2026-03-13T19:45:00+00:00,2026-03-15T22:05:00+00:00,5015.585,5028.282,5028.282,4977.494,12.697,internal_structure_anchor+sl_floor(12.697),0.01,8,B,sl_hit,-12.697
5,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T10:45:00+00:00,4988.75,4992.799,4992.799,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,-4.049
6,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-16T17:10:00+00:00,5011.002,4999.3835,4999.3835,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,11.6185
7,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
8,XAUUSDm,sell,2026-03-19T06:10:00+00:00,2026-03-19T06:45:00+00:00,4833.1,4787.5455,4787.5455,4776.277,18.941,internal_structure_anchor,0.01,8,B,sl_hit,45.5545
9,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T07:20:00+00:00,4712.459,4684.2105,4684.2105,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,28.2485
10,XAUUSDm,sell,2026-03-20T09:40:00+00:00,2026-03-20T11:20:00+00:00,4673.564,4666.7455,4666.7455,4502.509,19.879,internal_structure_anchor+sl_floor(19.879),0.01,8,B,sl_hit,6.8185
11,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:45:00+00:00,4511.76,4472.499,4487.5985,4472.499,13.087,internal_structure_anchor,0.01,8,B,tp_hit,39.261
12,XAUUSDm,sell,2026-03-26T19:50:00+00:00,2026-03-26T20:10:00+00:00,4364.419,4379.891,4379.891,4318.003,15.472,internal_structure_anchor+sl_floor(15.472),0.01,9,B,sl_hit,-15.472
13,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T11:00:00+00:00,4724.298,4724.8355,4724.8355,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.02,11,A+,sl_hit,-1.075
14,XAUUSDm,buy,2026-04-21T12:10:00+00:00,2026-04-21T12:20:00+00:00,4791.263,4781.263,4781.263,4821.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
15,XAUUSDm,buy,2026-04-21T12:20:00+00:00,2026-04-21T12:30:00+00:00,4782.766,4772.766,4772.766,4812.766,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
16,XAUUSDm,sell,2026-04-22T12:10:00+00:00,2026-04-22T13:35:00+00:00,4752.331,4751.247,4751.247,4703.435,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,2.168
17,XAUUSDm,sell,2026-04-22T14:30:00+00:00,2026-04-23T00:15:00+00:00,4736.077,4715.2455,4715.2455,4668.161,14.159,internal_structure_anchor+sl_floor(14.159),0.01,8,B,sl_hit,20.8315
18,XAUUSDm,sell,2026-04-23T17:00:00+00:00,2026-04-23T17:05:00+00:00,4730.76,4724.2315,4724.2315,4700.229,10.177,aggressive_ob_boundary+sl_floor(10.177),0.02,10,A+,sl_hit,13.057
19,XAUUSDm,sell,2026-04-24T04:15:00+00:00,2026-04-24T04:45:00+00:00,4669.263,4672.574,4672.574,4639.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-6.622
20,XAUUSDm,sell,2026-04-24T09:20:00+00:00,2026-04-24T11:00:00+00:00,4686.622,4689.541,4689.541,4644.273,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-5.838
21,XAUUSDm,sell,2026-04-24T20:00:00+00:00,2026-04-26T22:05:00+00:00,4716.613,4696.617,4696.617,4664.091,10.0,aggressive_ob_boundary+sl_floor(10.000),0.02,10,A+,sl_hit,39.992
22,XAUUSDm,sell,2026-04-27T14:00:00+00:00,2026-04-27T17:30:00+00:00,4694.038,4683.7995,4683.7995,4657.574,11.207,internal_structure_anchor+sl_floor(11.207),0.02,8,B,sl_hit,20.477
23,XAUUSDm,sell,2026-04-28T01:00:00+00:00,2026-04-28T05:05:00+00:00,4689.167,4659.167,4663.521,4659.167,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,tp_hit,60.0
24,XAUUSDm,sell,2026-04-28T06:20:00+00:00,2026-04-28T11:40:00+00:00,4626.103,4568.245,4596.734,4568.245,19.286,internal_structure_anchor,0.01,8,B,tp_hit,57.858
25,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:45:00+00:00,4579.404,4572.4855,4572.4855,4548.783,10.207,internal_structure_anchor,0.02,8,B,sl_hit,13.837
26,XAUUSDm,sell,2026-04-29T09:50:00+00:00,2026-04-29T10:10:00+00:00,4554.992,4566.033,4566.033,4521.868,11.041,internal_structure_anchor+sl_floor(11.041),0.02,8,B,sl_hit,-22.082
27,XAUUSDm,sell,2026-04-29T12:50:00+00:00,2026-04-29T13:45:00+00:00,4545.015,4510.466,4527.401,4510.466,11.516,internal_structure_anchor+sl_floor(11.516),0.02,8,B,tp_hit,69.098
28,XAUUSDm,sell,2026-04-29T19:20:00+00:00,2026-04-30T00:00:00+00:00,4544.736,4563.968,4563.968,4487.039,19.232,internal_structure_anchor+sl_floor(19.232),0.01,8,B,sl_hit,-19.232
