ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:40:00+00:00,2026-03-12T19:25:00+00:00,5110.713,5095.43864,5095.43864,4995.774,19.461,internal_structure_anchor,0.01,8,B,sl_hit,15.2744
2,XAUUSDm,sell,2026-03-12T19:55:00+00:00,2026-03-12T20:45:00+00:00,5084.796,5074.31057,5074.31057,4995.774,15.15,internal_structure_anchor+sl_floor(15.150),0.01,8,B,sl_hit,10.4854
3,XAUUSDm,sell,2026-03-13T06:10:00+00:00,2026-03-13T07:35:00+00:00,5104.03,5091.41643,5091.41643,4995.774,10.038,internal_structure_anchor+sl_floor(10.038),0.02,8,B,sl_hit,25.2271
4,XAUUSDm,sell,2026-03-13T07:40:00+00:00,2026-03-13T08:40:00+00:00,5089.241,5083.61836,5083.61836,4995.774,13.52,internal_structure_anchor+sl_floor(13.520),0.01,8,B,sl_hit,5.6226
5,XAUUSDm,sell,2026-03-13T19:45:00+00:00,2026-03-15T22:05:00+00:00,5015.585,5028.282,5028.282,4977.494,12.697,internal_structure_anchor+sl_floor(12.697),0.01,8,B,sl_hit,-12.697
6,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T10:25:00+00:00,4988.75,4988.29236,4988.29236,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,0.4576
7,XAUUSDm,sell,2026-03-16T10:35:00+00:00,2026-03-16T10:50:00+00:00,4981.7,4994.847,4994.847,4942.258,13.147,internal_structure_anchor+sl_floor(13.147),0.01,8,B,sl_hit,-13.147
8,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-16T17:00:00+00:00,5011.002,4994.83379,4994.83379,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,16.1682
9,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
10,XAUUSDm,sell,2026-03-19T06:10:00+00:00,2026-03-19T06:45:00+00:00,4833.1,4776.277,4789.74664,4776.277,18.941,internal_structure_anchor,0.01,8,B,tp_hit,56.823
11,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T07:30:00+00:00,4712.459,4688.91943,4688.91943,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,23.5396
