ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
1,XAUUSDm,sell,2026-03-12T17:30:00+00:00,2026-03-15T23:20:00+00:00,5111.998,4995.774,5135.998,4995.774,24.0,internal_structure_anchor,0.01,8,B,tp_hit,116.224
2,XAUUSDm,sell,2026-03-16T08:10:00+00:00,2026-03-16T11:10:00+00:00,4988.75,5003.942,5003.942,4943.174,15.192,internal_structure_anchor,0.01,8,B,sl_hit,-15.192
3,XAUUSDm,sell,2026-03-16T14:30:00+00:00,2026-03-17T02:00:00+00:00,5011.002,5028.001,5028.001,4960.005,16.999,internal_structure_anchor+sl_floor(16.999),0.01,8,B,sl_hit,-16.999
4,XAUUSDm,buy,2026-03-17T15:25:00+00:00,2026-03-17T15:40:00+00:00,4994.84,4979.569,4979.569,5044.474,15.271,internal_structure_anchor+sl_floor(15.271),0.01,8,B,sl_hit,-15.271
5,XAUUSDm,sell,2026-03-18T12:00:00+00:00,2026-03-19T06:35:00+00:00,4929.767,4793.858,4975.07,4793.858,45.303,internal_structure_anchor,0.01,8,B,tp_hit,135.909
6,XAUUSDm,sell,2026-03-19T06:35:00+00:00,2026-03-19T10:20:00+00:00,4796.148,4683.281,4833.77,4683.281,37.622,internal_structure_anchor,0.01,9,B,tp_hit,112.867
7,XAUUSDm,sell,2026-03-19T10:20:00+00:00,2026-03-19T12:40:00+00:00,4679.295,4585.752,4710.476,4585.752,31.181,internal_structure_anchor+sl_floor(31.181),0.01,8,B,tp_hit,93.543
8,XAUUSDm,sell,2026-03-20T05:00:00+00:00,2026-03-20T08:20:00+00:00,4712.459,4727.726,4727.726,4502.509,15.267,internal_structure_anchor,0.01,9,B,sl_hit,-15.267
9,XAUUSDm,sell,2026-03-20T09:00:00+00:00,2026-03-20T18:50:00+00:00,4688.573,4502.509,4710.39,4502.509,21.817,aggressive_ob_boundary+sl_floor(21.817),0.01,10,A+,tp_hit,186.064
10,XAUUSDm,sell,2026-03-20T19:00:00+00:00,2026-03-23T00:35:00+00:00,4500.716,4377.058,4541.935,4377.058,41.219,internal_structure_anchor,0.01,9,B,tp_hit,123.658
11,XAUUSDm,sell,2026-03-23T01:45:00+00:00,2026-03-23T06:30:00+00:00,4412.839,4236.013,4471.781,4236.013,58.942,internal_structure_anchor+sl_floor(58.942),0.01,8,B,tp_hit,176.826
12,XAUUSDm,sell,2026-03-23T07:55:00+00:00,2026-03-23T09:15:00+00:00,4204.148,4277.393,4277.393,3984.413,73.245,internal_structure_anchor+sl_floor(73.245),0.01,8,B,sl_hit,-73.245
13,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:45:00+00:00,4511.76,4472.499,4524.847,4472.499,13.087,internal_structure_anchor,0.01,8,B,tp_hit,39.261
14,XAUUSDm,sell,2026-03-26T05:45:00+00:00,2026-03-26T16:20:00+00:00,4473.192,4390.404,4500.788,4390.404,27.596,internal_structure_anchor,0.01,9,B,tp_hit,82.788
15,XAUUSDm,sell,2026-03-26T16:30:00+00:00,2026-03-26T20:35:00+00:00,4392.778,4419.309,4419.309,4313.184,26.531,internal_structure_anchor+sl_floor(26.531),0.01,8,B,sl_hit,-26.531
16,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T13:10:00+00:00,4724.298,4735.373,4735.373,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.02,11,A+,sl_hit,-22.15
17,XAUUSDm,buy,2026-04-21T12:10:00+00:00,2026-04-21T12:20:00+00:00,4791.263,4781.263,4781.263,4821.263,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
18,XAUUSDm,buy,2026-04-21T12:20:00+00:00,2026-04-21T12:30:00+00:00,4782.766,4772.766,4772.766,4812.766,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
19,XAUUSDm,sell,2026-04-21T14:00:00+00:00,2026-04-21T14:45:00+00:00,4780.299,4728.606,4797.53,4728.606,17.231,internal_structure_anchor+sl_floor(17.231),0.01,8,B,tp_hit,51.693
20,XAUUSDm,sell,2026-04-21T14:50:00+00:00,2026-04-22T03:25:00+00:00,4738.567,4761.33,4761.33,4644.805,22.763,internal_structure_anchor,0.01,9,B,sl_hit,-22.763
21,XAUUSDm,sell,2026-04-22T12:10:00+00:00,2026-04-23T00:10:00+00:00,4752.331,4703.435,4762.331,4703.435,10.0,internal_structure_anchor+sl_floor(10.000),0.01,9,B,tp_hit,48.896
22,XAUUSDm,sell,2026-04-23T17:00:00+00:00,2026-04-23T17:35:00+00:00,4730.76,4700.229,4740.937,4700.229,10.177,aggressive_ob_boundary+sl_floor(10.177),0.02,10,A+,tp_hit,61.062
23,XAUUSDm,sell,2026-04-23T17:40:00+00:00,2026-04-23T18:00:00+00:00,4677.496,4716.606,4716.606,4560.165,39.11,internal_structure_anchor,0.01,8,B,sl_hit,-39.11
24,XAUUSDm,sell,2026-04-24T04:15:00+00:00,2026-04-24T05:30:00+00:00,4669.263,4679.263,4679.263,4639.263,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
25,XAUUSDm,sell,2026-04-24T09:20:00+00:00,2026-04-24T11:05:00+00:00,4686.622,4696.622,4696.622,4644.273,10.0,internal_structure_anchor+sl_floor(10.000),0.01,9,B,sl_hit,-10.0
26,XAUUSDm,sell,2026-04-27T14:00:00+00:00,2026-04-28T05:05:00+00:00,4694.038,4657.574,4705.245,4657.574,11.207,internal_structure_anchor+sl_floor(11.207),0.01,8,B,tp_hit,36.464
27,XAUUSDm,sell,2026-04-28T05:10:00+00:00,2026-04-28T09:55:00+00:00,4652.331,4607.724,4667.2,4607.724,14.869,internal_structure_anchor,0.01,8,B,tp_hit,44.607
28,XAUUSDm,sell,2026-04-28T09:55:00+00:00,2026-04-28T11:35:00+00:00,4604.916,4570.562,4616.367,4570.562,11.451,internal_structure_anchor+sl_floor(11.451),0.01,8,B,tp_hit,34.354
29,XAUUSDm,sell,2026-04-28T12:20:00+00:00,2026-04-28T12:50:00+00:00,4577.765,4599.802,4599.802,4511.654,22.037,internal_structure_anchor+sl_floor(22.037),0.01,8,B,sl_hit,-22.037
30,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T12:50:00+00:00,4579.404,4548.783,4589.611,4548.783,10.207,internal_structure_anchor,0.01,8,B,tp_hit,30.621
